,.gexf,.gml,.graphml,.llm4tg
12WghuRH7b8K7mcJvxCzWQjW7RVEAC7qgx,2752,1450,2496,465
18HYCHS6NriWGhmkSjRW5zb9zZYb285S2j,989439,622967,887625,155412
32dSWkTkutB2HKsaf3C2Ve7NpqcGfKtmHq,988233,622607,880252,154921
125PeYV6QJ2LPhmr656qnjH32iwEQzibqs,812473,498156,706171,138978
18HzPvSWZMKat2dtkGGSnwZ82a9RyLvYEx,968606,606631,863568,151875
32AYRX9Wv7HuVRYhxrxMdrJjTq4o3SRjJo,981391,618525,874343,154606
18HyatoyCsf6f4V8SWGic9mnnVc3hk2JTx,809162,495298,700757,136024
bc1qmy7lxpg7evrly5k4f5phrkmwkl2g3vd55wd2dw,792721,506142,711625,146769
125KudAM3sURYnMj6bZB8s8qfdNkqCD7B8,791642,504031,711899,145867
1P5HjVjgwCamwaiU4N37graDt93EsjhRgy,804643,492626,696514,137132
152f1muMCNa7goXYhYAQC61hxEgGacmncB,989014,623873,884692,154790
124HWeMeE8o8DWzi8FJ8G2SAnedEW1z6bL,807851,494604,702118,137616
123spwfBxGJNDGvz7RD94UR2d9m3WehbUQ,804077,494971,702423,138638
31sPrvdfkp8yfRnGEfSJGZgcmxJaxKY8LP,989516,623347,881314,154950
114di6kcmhx2WAxGzj5ACRC2jDYL9FgcvV,792056,502931,705977,145936
35956a1Jwpx3XEaMYthBkWRibmxMoZ3owL,811978,483757,688932,129960
1211haXc5x1wxqreChZA1V6H9mY8dnffqZ,802946,497552,706339,140417
126QW7Ye3UTdJDHCQBatb7aRqzHnMuaCxT,117837,70908,101737,19120
128GMrzreJfN2kJBEU4pvTKfBz1aiSRXZ1,808164,493808,701535,136962
19AoRbnPcMFyo3rNwuinskcSGHYSEWB15L,793575,499474,707337,143177
18HUrewru777pHkF3psp4fSC1LCZFE18fM,792722,504301,708611,146236
32HeiH46vJMf8oLqwsvU6yK5ZBAdttvTTs,990068,623686,881786,154988
bc1qajl3xsw89fw6avst09nj5w5fgkuk9hcr3u2vap,789970,501479,705386,145269
18hUtCHJNn2DafdrtRCJcFUcy3adJHN2pK,989443,622971,887622,155413
34LwhhkaW7Z29GUtuHcPLJTU4jkQpZBwPy,813698,484312,688039,129620
bc1q36ftwyp8ugqeh4fcxflgdtufuzwnk73aekgg67,793772,505495,707935,145555
34M7J45PWwV1jQ1e7JyMgWvfhS1FSeZ6r4,794821,497710,695198,141097
bc1qq3qnrc2zrr4u974laqpq37yygckx5qna78zg89,792204,504707,706531,147724
bc1qaj737nreha7akwe7pcguzgja7z8qf2ful332xj,790013,503067,711740,147193
bc1qajczampunqytxvqnxs35pjzph7uamwj4m0uew7,794780,499766,706067,143330
34McxgTEKgNzP7yHQiCHwCxUFAT5hNRGY3,792413,498942,705735,143185
bc1qah37c3zf66t6xf9lxgejttrlgmaljzvfhcc7u4,976669,612583,866239,153139
16FpoXPRRHEfELBkXZYgU219jeiuqxFSnC,805139,491210,694835,137225
11SdT9A1AMggeeDPsFzXCuJHA3wBf29eM,795524,478207,676373,131207
34MgRYEPwxJQPjtBDhZLwi6afMseu98pZL,809028,486549,686994,131501
bc1qahkkef7t8evzrlvlj4zymxm6rqfdvsua9q2nv8,791370,503691,705704,147193
34MhAZ8xUH2UDsGDhCMcSLAjNr66RsYwt2,793139,506552,710584,147359
1HXnFxCrrGYVzgwGDBvfdW9o3W7qhCNwS8,794132,499011,706967,142778
bc1qahpfaq0lzthfavg9lrgrky8x4tke6cy84ghm7n,793501,506084,712307,147775
bc1qahruvzggmmjcap45xwduwejx3s9r3lkzg27w48,790453,495122,682371,139903
bc1q78x2vpxy0kvrfdfrke4w4lyuuzaqt2q37zk5l8,797962,503570,703339,144959
123gMx3WHncyuUChBm5CDqwsCCRZ3SKjup,360571,215018,307314,56850
18hYxTxudp6BbBTcHJXipwHjNYMLeUrjKa,815032,491515,696287,132330
113a5zP5pguKAztvQ8yo2ZQfRpo9KDZa34,803874,484221,685835,132875
1C3n2XPsTMxQCm1n9m9wiCkj3dW8XyTyko,790096,502444,710734,146520
329MPwHSMJCkqwVbSBMXsd4AjRrdjee5mB,988049,622243,879796,154769
323Ek213dA8UDUxyKFBVkkgKfXVr7RUeia,980639,617590,873132,154299
34MgPjHKiqKJHQ6Cda5taKwKXzx9brjeFM,810649,492301,697894,133719
34Lz22jHx1qsSd4w7UX3wYSpiJnKX1aDMA,782913,493899,677614,142145
bc1q4gjgphxs9cw9834qthtvgdnm9ma2g80wvz6jnd,794684,504773,708906,146134
